stage,opponent_stage,wins,draws,losses,elo_stage,elo_opponent_stage
1,1,856,0,144,1443.5308425878445,1000.0
1,2,489,0,511,1443.5308425878445,1443.5308425878445
2,1,900,0,100,1458.1610840977496,1000.0
2,2,571,0,429,1458.1610840977496,1423.946123102929
2,3,494,0,506,1458.1610840977496,1458.1610840977496
3,1,892,0,108,1437.790254718632,1000.0
3,2,561,0,439,1437.790254718632,1406.117080024899
3,3,496,0,504,1437.790254718632,1441.4779343397026
3,4,518,0,482,1437.790254718632,1437.790254718632
4,1,911,0,89,1450.1618934905646,1000.0
4,2,620,0,380,1450.1618934905646,1394.4679512232847
4,3,506,0,494,1450.1618934905646,1436.7273794791163
4,4,547,0,453,1450.1618934905646,1428.9403686409275
4,5,504,0,496,1450.1618934905646,1450.1618934905646
5,1,930,0,70,1473.0542320046857,1000.0
5,2,651,0,349,1473.0542320046857,1389.2453156607116
5,3,567,0,433,1473.0542320046857,1433.72494505076
5,4,585,0,415,1473.0542320046857,1425.302365722006
5,5,562,0,438,1473.0542320046857,1445.6498676822773
5,6,522,0,478,1473.0542320046857,1473.0542320046857
6,1,927,0,73,1479.1475390087116,1000.0
6,2,667,0,333,1479.1475390087116,1382.7151209994454
6,3,584,0,416,1479.1475390087116,1428.9075984171996
6,4,603,0,397,1479.1475390087116,1419.903523667191
6,5,581,0,419,1479.1475390087116,1439.5688520543888
6,6,531,0,469,1479.1475390087116,1467.7562448547887
6,7,474,0,526,1479.1475390087116,1479.1475390087116
7,1,945,0,55,1501.360789362306,1000.0
7,2,723,0,277,1501.360789362306,1378.4320986330858
7,3,615,0,385,1501.360789362306,1428.2357072125938
7,4,670,0,330,1501.360789362306,1415.9426763111803
7,5,607,0,393,1501.360789362306,1438.356867935732
7,6,536,0,464,1501.360789362306,1468.9187521168437
7,7,543,0,457,1501.360789362306,1478.4663726252293
7,8,480,0,520,1501.360789362306,1501.360789362306
8,1,931,0,69,1499.072263569461,1000.0
8,2,715,0,285,1499.072263569461,1371.7066947310364
8,3,640,0,360,1499.072263569461,1422.1216874849458
8,4,640,0,360,1499.072263569461,1411.0177433816152
8,5,617,0,383,1499.072263569461,1432.8528744560087
8,6,553,0,447,1499.072263569461,1464.808739499127
8,7,561,0,439,1499.072263569461,1472.8121102580417
8,8,502,0,498,1499.072263569461,1497.4953749397694
8,9,504,0,496,1499.072263569461,1499.072263569461
9,1,947,0,53,1493.1113513753176,1000.0
9,2,696,0,304,1493.1113513753176,1370.8326081930136
9,3,603,0,397,1493.1113513753176,1422.9231529677515
9,4,652,0,348,1493.1113513753176,1409.6685871285931
9,5,630,0,370,1493.1113513753176,1430.9889009520998
9,6,546,0,454,1493.1113513753176,1465.3787688952775
9,7,547,0,453,1493.1113513753176,1472.578526506461
9,8,478,0,522,1493.1113513753176,1499.3921846056965
9,9,463,0,537,1493.1113513753176,1501.7965395882557
9,10,476,0,524,1493.1113513753176,1493.1113513753176
10,1,950,0,50,1519.2421077279926,1000.0
10,2,730,0,270,1519.2421077279926,1368.9555909842757
10,3,637,0,363,1519.2421077279926,1422.6477682942784
10,4,679,0,321,1519.2421077279926,1407.9555247090977
10,5,651,0,349,1519.2421077279926,1429.2581519482192
10,6,588,0,412,1519.2421077279926,1464.5330205662558
10,7,613,0,387,1519.2421077279926,1469.671473411705
10,8,544,0,456,1519.2421077279926,1498.24869255764
10,9,541,0,459,1519.2421077279926,1500.622487262697
10,10,533,0,467,1519.2421077279926,1493.1585663558185
10,11,498,0,502,1519.2421077279926,1519.2421077279926
11,1,958,0,42,1515.7713269375804,1000.0
11,2,729,0,271,1515.7713269375804,1368.9574451130338
11,3,644,0,356,1515.7713269375804,1423.6059198197286
11,4,663,0,337,1515.7713269375804,1408.9364250564686
11,5,649,0,351,1515.7713269375804,1429.4635266195803
11,6,587,0,413,1515.7713269375804,1465.445317813923
11,7,591,0,409,1515.7713269375804,1469.974031689621
11,8,520,0,480,1515.7713269375804,1500.1714236115067
11,9,519,0,481,1515.7713269375804,1502.4125255627891
11,10,521,0,479,1515.7713269375804,1495.426409686114
